NAME,FOLDERPATH,SYMBOLID,ALTMODE,BASE,CLAMPED,EXTRUDED,SNIPPET,POPUPINFO,SHAPE_LENG,SHAPE_LEN,AVG_SLOPE
동작충효길5코스-보라매길,동작충효길5코스-보라매길.kmz,0,0,0.0,-1,0,,신대방삼거리역5번출입구-보라매e편한세상아파트-보라매삼성아파트-동작구민회관-농심관-보라매역6번출입구,0.02377221,0.0237722083591,정보 없음
동작충효길7코스-까치산길,임시 장소/동작충효길7코스-까치산길.kmz,0,0,0.0,-1,0,,"서울시립남서울미술관-생태통로-경로당,어린이놀이터-북까페-숲속문고-상동중학교-상현중학교",0.03629255,0.0362925465468,정보 없음
제목 없는 경로,임시 장소/동작충효길7코스-까치산길.kmz,1,0,0.0,-1,0,,,0.00917672,0.00917671563298,정보 없음
문화자원길,임시 장소/동작충효길7코스-까치산길.kmz,2,0,0.0,-1,0,,,0.00250896,0.00250896138222,정보 없음
망우산숲진입로1,망우산숲나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00201425,0.00201424683864,정보 없음
망우산숲나들길,망우산숲나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.06422942,0.0642294189478,정보 없음
몽촌토성나들길 진입로1,몽촌토성 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00722016,0.00722015622683,3.7%
몽촌토성나들길 진입로2,몽촌토성 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00107591,0.00107591325349,4.5%
몽촌토성나들길 진입로3,몽촌토성 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00714327,0.00714326587762,2.6%
몽촌토성나들길 진입로5,몽촌토성 나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.00382946,0.00382945879885,12.6%
배봉산답십리진입로1,배봉산답십리나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.01275781,0.0127578085504,정보 없음
배봉산답십리진입로2,배봉산답십리나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00445148,0.00445147932621,정보 없음
배봉산답십리진입로3,배봉산답십리나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00177284,0.00177284499466,정보 없음
배봉산답십리진입로4,배봉산답십리나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00388319,0.00388318661177,정보 없음
배봉산답십리진입로5,배봉산답십리나들길.kmz/임시 장소,0,0,0.0,-1,0,,,0.00322627,0.00322626836586,정보 없음
배봉산답십리나들길,배봉산답십리나들길.kmz/임시 장소,1,0,0.0,-1,0,,,0.01280185,0.0128018489189,정보 없음
